PART_NO,SUM,Lot
1009471,60,1000001898
1009472,90,1000001891
1009473,40,1000001903
1009474,50,1000001894
1009475,130,1000001892
1009476,10,1000001904
1009477,120,1000001899
1009478,10,1000001896
1009479,20,1000001901
1009480,70,1000001895
1009481,60,1000001889
1009482,10,1000001911
1009483,10,1000001888
1009484,10,1000001890
1009485,20,1000001900
1009486,10,1000001902
