1014442,3,3120,14964
1014267,9,9360,44892
1014040,8,8320,39904
1014249,3,3120,14965
1014235,1,1040,4988
1021685,5,5200,24940
1014130,3,3120,14965
1026661,1,1040,4988
1014278,1,1040,4988
1014253,1,1040,4988
1014786,2,2080,9976
1016520,1,1040,4988
1021805,16,16640,79812
1023271,1,1040,4988
1014055,1,1040,4988
1014301,1,1040,4988
1014049,1,1040,4988
1014282,6,6240,29928
1014250,1,1040,4988
1014039,2,2080,9976
1022474,1,1040,4988
1014256,3,3120,14964
1013770,2,2080,9976
1016253,1,1040,4988
1026406,2,2080,9976
1014280,23,23920,114728
1015612,2,2080,9976
1014279,2,2080,9977
1014043,29,30160,144652
1025943,1,1040,4988
1017992,2,2080,9976
1014591,6,6240,29932
1021834,3,3120,14964
1015193,2,2080,9976
1026403,1,1040,4988
1014071,1,1040,4988
1014242,4,4160,19952
1013653,1,1040,4990
1023476,1,1040,4988
1027841,10,10400,49880
1016837,1,1040,4988
1047907,1,1040,4988
1018606,1,1040,4988
1021852,2,2080,9976
1014050,1,1040,4988
1014044,18,18720,89784
1014127,1,1040,4988
1014133,10,10400,49884
1016402,2,2080,9976
1014812,4,4160,19952
1014244,1,1040,4988
1014047,2,2080,9976
1023903,1,1040,4988
1014237,1,1040,4990
1013867,1,1040,4988
1033625,1,1040,4988
1018263,1,1040,4988
1021771,1,1040,4988
1021931,1,1040,4988
1056687,1,1040,4988
1014277,40,41600,199520
1017116,3,3120,14967
1015217,1,1040,4988
1013868,1,1040,4988
1023494,5,5200,24942
1014038,1,1040,4990
1021831,1,1040,4988
1014065,1,1040,4988
1014085,1,1040,4988
1030159,1,1040,4988
1016286,1,1040,4990
1039375,3,3120,14964
1019953,3,3120,14964
1014439,11,11440,54868
1015215,3,3120,14965
1049310,1,1040,4988
1014156,1,1040,4988
1014239,2,2080,9976
1017564,4,4160,19952
1014252,1,1040,4988
1015611,1,1040,4988
1025850,8,8320,39906
1014276,11,11440,54868
1014072,4,4160,19952
1016369,1,1040,4988
1025469,1,1040,4988
1017069,7,7280,34916
1039376,1,1040,4988
1014272,1,1040,4988
1019751,4,4160,19952
1014034,4,4160,19952
1014074,1,1040,4988
1014082,1,1040,4988
1014035,1,1040,4988
1022792,2,2080,9978
1014254,2,2080,9976
1025684,4,4160,19952
1021997,1,1040,4988
1014238,1,1040,4988
1023471,1,1040,4988
1048305,2,2080,9976
1014274,6,6240,29928
1014258,3,3120,14964
1014271,12,12480,59856
1014285,1,1040,4989
1019161,1,1040,4988
1025849,9,9360,44892
1014255,1,1040,4988
1014036,4,4160,19952
1026782,2,2080,9976
1014283,2,2080,9976
1014441,5,5200,24940
1014529,1,1040,4988
1014243,4,4160,19952
1014240,3,3120,14966
1015614,1,1040,4988
1023491,16,16640,79810
1021646,2,2080,9976
