1051205,1,1040
1056349,1,1040
1059303,1,1040
1051165,1,1040
1056364,1,1040
1056350,4,4160
1038864,3,3120
1051166,1,1040
1045999,3,3120
1056362,6,6240
1056324,2,2080
1056370,1,1040
1056537,1,1040
1051175,1,1040
1051200,1,1040
1056333,1,1040
1056539,1,1040
1056352,1,1040
1051163,1,1040
1058182,2,2080
1047864,3,3120
1030539,1,1040
1056365,3,3120
1052040,6,6240
1055758,1,1040
1056326,1,1040
1051178,2,2080
1051201,1,1040
1059306,1,1040
1056344,4,4160
1059304,1,1040
1051168,1,1040
1051164,1,1040
1056885,3,3120
1056330,1,1040
1056540,1,1040
1051167,2,2080
1056531,1,1040
1056534,1,1040
1014274,2,2080
1051177,1,1040
1056538,4,4160
1059094,1,1040
1056393,3,3120
1056357,2,2080
1051210,2,2080
