work_order:No7730_E96v1LQFP,sum_goods:2389
1014040,8
1014055,4
1014301,-3
1014282,4
1013770,4
1016253,1
1014043,4
1025943,1
1017992,4
1015193,4
1026403,2
1014127,1
1014812,-14
1033625,3
1021931,2
1017116,-10
1013868,4
1014065,4
1014085,4
1019953,3
1015215,2
1014239,4
1025469,2
1039376,2
1022792,1
1014254,4
1021997,4
1048305,2
1025849,-36
1014255,1
1056373,-2389
1023491,2
1021646,-2
