"id,qty"
1000540998,2000
1000638557,2000
1000631817,1998
1000657300,2000
1000662254,9066
1000662383,8934
1000571632,282
1000576451,5718
1000630014,2000
1000549171,2000
1000722048,684
1000722049,301
1000722408,796
1000722409,219
1000568310,262
1000631566,1224
1000631568,508
1000549670,974
1000549671,1026
1000625373,2000
1000571926,4000
1000543580,2000
1000615528,2000
1000611763,2000
1000623710,522
1000623711,1468
1000597445,2000
1000487433,1004
1000571957,996
1000526929,1990
1000527278,845
1000551319,1157
1000327393,316
1000723838,1506
1000723839,180
1000630437,2000
1000556699,524
1000556774,900
1000556775,576
1000667690,2000
1000564273,2004
1000571484,2000
1000513996,5896
1000524524,2104
1000617215,2587
1000617217,2995
1000617218,418
1000652034,2
1000652035,1998
1000665920,3999
1000665921,1
1000630681,5876
1000630730,6124
1000650485,374
1000650486,627
1000650487,1000
1000668270,4960
1000668291,3040
1000671539,2000
1000674590,2002
1000522328,2002
1000555659,2000
